nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
104,PL4721,STELLA NDC MANIFOLD TO WELL B3Y (SNP1) GAS LIFT LINE,GAS,ACTIVE,0.134,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,49.3,5.5,0.2,42.201325,60.3,4.271647,1.228353,0.223337,0.776663,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
105,PL3081JNDC3,STELLA NDC MANIFOLD TO WELL B1X (SNP2) GAS LIFT LINE,GAS,ACTIVE,0.091,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,49.3,5.5,0.2,42.201325,60.3,4.271647,1.228353,0.223337,0.776663,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
106,PL3081JNDC4,STELLA NDC MANIFOLD TO WELL B2 2 INCH GAS LIFT LINE,GAS,ACTIVE,0.075,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,49.3,5.5,0.2,42.201325,60.3,4.271647,1.228353,0.223337,0.776663,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
107,PL1645,GAS EXPORT FLEXIBLE RISER,GAS,ACTIVE,0.555,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,251.3,10.9,0.2,20.101325,273.1,9.215064,1.684936,0.154581,0.845419,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
108,PL166,THISTLE TO MURCHISON SPUR (NLGP),GAS,ACTIVE,11.509616,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,147.0,143.0,12.7,0.2,14.801325,168.4,4.184029,8.515971,0.670549,0.329451,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
109,PL6108,TRITON FPSO BITTERN GAS LIFT RISER,GAS,ACTIVE,0.237,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,124.0,39.0,0.2,20.101325,202.0,6.815976,32.184024,0.825231,0.174769,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
110,PL2202,W125 to W120 6in Production Line,MIXED HYDROCARBONS,ACTIVE,3.863,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,193.7,12.7,0.2,21.601325,219.1,7.94465,4.75535,0.374437,0.625563,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
111,PL72,NINIAN SOUTHERN GAS EXPORT PIPELINE,GAS,NOT IN USE,6.514,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,45.0,177.9,20.6,0.2,4.601325,219.1,1.6923,18.9077,0.91785,0.08215,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
112,PL4191,2in Gas Jumper between CP24 and M1X,GAS,ACTIVE,1.491,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,136.5,15.9,0.2,25.801325,168.3,7.289171,8.610829,0.541562,0.458438,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
113,PL3031,PL3031 - GEAD SOUTHERN DRILL CENTRE MANIFOLD TO GEAD SOUTH INFIELD SSIV,MIXED HYDROCARBONS,ACTIVE,4.356247,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,175.0,152.0,7.92,0.2,17.601325,167.84,4.958985,2.961015,0.373865,0.626135,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
114,PL2006,Heather Alpha to Broom Manifold,GAS,NOT IN USE,7.6,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,110.0,152.5,6.4,0.2,11.101325,165.3,3.080347,3.319653,0.518696,0.481304,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
115,PL3037,PL3037 - GEAD WELL HEAD PLATFORM TO GEAD EXPORT SSIV,GAS,ACTIVE,0.223626,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,146.3,10.9,0.2,18.101325,168.1,5.107755,5.792245,0.531399,0.468601,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
116,PL3037,PL3037 - GEAD PLEM TO ETTRICK PLEM,GAS,ACTIVE,0.085591,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,146.3,10.9,0.2,18.101325,168.1,5.107755,5.792245,0.531399,0.468601,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
117,PL3031,PL3031 - GEAD WELL HEAD PLATFORM TO GEAD SOUTH INFIELD SSIV,MIXED HYDROCARBONS,ACTIVE,0.301509,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,175.0,152.0,7.92,0.2,17.601325,167.84,4.958985,2.961015,0.373865,0.626135,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
118,PL3642,Production Jumper Bundle from Manifold M1 to Manifold M1X - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.08,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,63.5,30.5,0.2,25.801325,124.5,5.392167,25.107833,0.823208,0.176792,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
119,PL3638,Production Jumper Bundle from M1X to XT CP01 (M1X) - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.062,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,63.5,30.5,0.2,25.801325,124.5,5.392167,25.107833,0.823208,0.176792,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
120,PL3637,Production Jumper Bundle from Manifold M1X to XT CP21 - Production/Test,MIXED HYDROCARBONS,ACTIVE,0.04,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,63.5,30.5,0.2,25.801325,124.5,5.392167,25.107833,0.823208,0.176792,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
121,PL4769,PN3 WELL TO NTM TOWHEAD,MIXED HYDROCARBONS,ACTIVE,0.050822,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,248.0,142.9,12.7,0.2,24.901325,168.3,7.03491,5.66509,0.44607,0.55393,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
122,PL4763,PN7 WELL TO NTM TOWHEAD,MIXED HYDROCARBONS,ACTIVE,0.058742,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,248.0,142.9,12.7,0.2,24.901325,168.3,7.03491,5.66509,0.44607,0.55393,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
123,PL2671,"TULLICH 1.5"" GAS LIFT AT WELL P31",GAS,NOT IN USE,0.112165,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,207.0,38.1,32.7,0.2,20.801325,103.5,3.61396,29.08604,0.889481,0.110519,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
124,PL1912JC,"TULLICH 4"" GAS LIFT AT WELL P15",GAS,NOT IN USE,0.0558,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,101.6,18.6,0.2,20.101325,138.8,4.683453,13.916547,0.748201,0.251799,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
125,PL3111,"TULLICH 3"" GAS LIFT AT WELL P35",GAS,NOT IN USE,0.074569,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,207.0,38.1,32.7,0.2,20.801325,103.5,3.61396,29.08604,0.889481,0.110519,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
126,PL1912JB,"TULLICH 4"" GAS LIFT AT WELL P14",GAS,NOT IN USE,0.052996,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,101.6,18.6,0.2,20.101325,138.8,4.683453,13.916547,0.748201,0.251799,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
127,PL3169,PL3169 - GEAD NORTHERN DRILL CENTRE MANIFOLD TO GEAD NORTH FIELD SSIV,GAS,ACTIVE,5.867632,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,100.0,7.14,0.2,18.101325,114.28,3.472423,3.667577,0.513666,0.486334,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
128,PL1415,FPSO - 10in Production Flowline - 10in Flowline L24,MIXED HYDROCARBONS,NOT IN USE,1.534,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,73.7,7.6,0.2,25.801325,88.9,3.850311,3.749689,0.49338,0.50662,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
129,PL3032,PL3032 - GEAD SOUTHERN DRILL CENTRE MANIFOLD TO GEAD SOUTH INFIELD SSIV,GAS,ACTIVE,4.35801,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,98.4,7.92,0.2,18.101325,114.24,3.471207,4.448793,0.561716,0.438284,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
130,PL6012,"PL6012 DISCONNECTED GE MANIFOLD to GE-03 XMAS TREE 3"" FLEXIBLE JUMPER",GAS,NOT IN USE,0.055,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,76.2,19.6,0.2,20.101325,115.4,3.893879,15.706121,0.801333,0.198667,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
131,PL6484,GNW TREE 21/24-W7Z (EC) PROD LINE,MIXED HYDROCARBONS,ACTIVE,0.204,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,131.76,18.26,0.2,20.101325,168.28,5.67818,12.58182,0.689037,0.310963,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
132,PL6603,"PL6603 EVELYN EV02 6"" PRODUCTION TIE-IN SPOOLS",GAS,ACTIVE,0.061,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,131.76,18.26,0.2,20.101325,168.28,5.67818,12.58182,0.689037,0.310963,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
133,PL6496,GNW TREE 21/24-W5Z (TF) PROD LINE,MIXED HYDROCARBONS,ACTIVE,0.0136,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,131.76,18.26,0.2,20.101325,168.28,5.67818,12.58182,0.689037,0.310963,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
134,PL3032,PL3032 - GEAD WELL HEAD PLATFORM TO GEAD SOUTH INFIELD SSIV,GAS,ACTIVE,0.301354,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,98.4,7.92,0.2,18.101325,114.24,3.471207,4.448793,0.561716,0.438284,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
135,PL3169,PL3169 - GEAD NORTH FIELD SSIV TO GEAD WELL HEAD PLATFORM,GAS,ACTIVE,0.305142,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,100.0,7.14,0.2,18.101325,114.28,3.472423,3.667577,0.513666,0.486334,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
136,PL1652.6,GW TREE 21/24-E2Y (TA) PROD LINE,MIXED HYDROCARBONS,NOT IN USE,0.0307,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,97.1,8.6,0.2,18.101325,114.3,3.47303,5.12697,0.596159,0.403841,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
137,PL917A,NINIAN CENTRAL GAS IMPORT RISER,GAS,ACTIVE,0.196,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,136.0,184.1,9.5,0.2,13.701325,203.1,4.671157,4.828843,0.508299,0.491701,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
138,PL6107,"GE 3"" Gas lift flexible",GAS,ACTIVE,0.1,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,76.2,19.6,0.2,20.101325,115.4,3.893879,15.706121,0.801333,0.198667,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
139,PL6485,GNW TREE 21/24-W7Z (EC) GAS LIFT JUMPER,GAS,ACTIVE,0.2181,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,73.66,19.8,0.2,20.101325,113.26,3.82167,15.97833,0.806986,0.193014,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
140,PL4421.1,"PL4421 GEM to GETVS - 3"" Gas Lift Jumper",GAS,NOT IN USE,0.0,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,88.9,7.62,0.2,18.101325,104.14,3.164317,4.455683,0.584735,0.415265,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
141,PL4768,NTM TOWHEAD TO PN3 WELL,GAS,ACTIVE,0.054546,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,248.0,42.0,12.7,0.2,24.901325,67.4,2.817308,9.882692,0.778165,0.221835,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
142,PL4421.2,"PL4421 GETVS to Pipeline Flange - 3"" Gas Lift Jumper GE03",GAS,ACTIVE,0.084,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,76.2,19.6,0.2,18.101325,115.4,3.506454,16.093546,0.821099,0.178901,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
143,PL4421.3,"PL4421 GE Pipeline Flange to Well GE P-03 - 3"" Gas Lift Jumper GE03",GAS,ACTIVE,0.07,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,76.2,19.6,0.2,18.101325,115.4,3.506454,16.093546,0.821099,0.178901,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
144,PL2852,DUNLIN FUEL GAS IMPORT PIPELINE,GAS,ABANDONED,10.097,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,165.0,98.5,7.9,0.2,16.601325,114.3,3.185231,4.714769,0.596806,0.403194,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
145,PL1652.2,GW TREE 21/24-W2Y (TE) PROD LINE,MIXED HYDROCARBONS,ACTIVE,0.0328,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,97.1,8.6,0.2,18.101325,114.3,3.47303,5.12697,0.596159,0.403841,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
146,PL1652.7,GW TREE 21/24-E1 (TB) PROD LINE,MIXED HYDROCARBONS,ACTIVE,0.0362,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,97.1,8.6,0.2,18.101325,114.3,3.47303,5.12697,0.596159,0.403841,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
147,PL1652.1,GW TREE 21/24-W1Z (TD) PROD LINE,MIXED HYDROCARBONS,ACTIVE,0.0336,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,97.1,8.6,0.2,18.101325,114.3,3.47303,5.12697,0.596159,0.403841,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
148,PL4762,NTM TOWHEAD TO PN7 WELL,GAS,ACTIVE,0.053653,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,42.8,12.7,0.2,21.601325,68.2,2.472958,10.227042,0.805279,0.194721,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
149,PL6611,PL6611 3 INCH GAS LIFT - BELINDA BE01 TO GEEBB MANIFOLD,GAS,ACTIVE,4.581,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,73.7,7.6,0.2,18.101325,88.9,2.701246,4.898754,0.644573,0.355427,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
150,PL6606,"PL6606 EVELYN EV02 3"" GAS LIFT TIE-IN SPOOLS",GAS,ACTIVE,0.061,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,73.66,7.62,0.2,20.101325,88.9,2.999704,4.620296,0.606338,0.393662,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
151,PL6495,GNW TREE 21/24-W5Z (TF) GAS LIFT,GAS,ACTIVE,0.0175,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,73.66,7.62,0.2,20.101325,88.9,2.999704,4.620296,0.606338,0.393662,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
152,PL2682,GNW TREE 21/24-W6Y (W6) GAS JUMPER,GAS,ACTIVE,0.04865,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,49.22,8.74,0.2,20.101325,66.7,2.250622,6.489378,0.742492,0.257508,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
153,PL2584,NPR TO WD GAS LIFT,GAS,ABANDONED,2.3,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,150.0,73.7,15.2,0.2,15.101325,104.1,2.638869,12.561131,0.82639,0.17361,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
154,PL6137,CLAPHAM GAS LIFT FLOWINE DC6 TO DC5 IDENT 2,GAS,ABANDONED,0.064,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,101.6,18.65,0.2,20.101325,138.9,4.686827,13.963173,0.748696,0.251304,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
155,PL6611,PL6611 3 INCH GAS LIFT TIE-IN SPOOL,GAS,ACTIVE,0.0449,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,7.7,7.6,0.2,18.101325,22.9,0.695821,6.904179,0.908445,0.091555,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
