nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
50,PL1891.2,ANP TIE-IN SPOOL,MIXED HYDROCARBONS,ACTIVE,0.103,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,320.0,211.1,31.1,0.2,32.101325,273.3,14.72701,16.37299,0.526463,0.473537,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
51,PL1251,THELMA PRODUCTION PIPELINE,MIXED HYDROCARBONS,ACTIVE,11.825,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,290.0,238.5,17.3,0.2,29.101325,273.1,13.340941,3.959059,0.228847,0.771153,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
52,PL2921,SSIV ROCHELLE TO SCOTT GAS PL2921,GAS,ACTIVE,0.553784,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,245.0,228.7,20.6,0.2,24.601325,269.9,11.145855,9.454145,0.458939,0.541061,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
53,PL1645,TRITON FPSO TO GANNET DIVERTER,GAS,ACTIVE,11.958,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,251.3,10.9,0.2,20.101325,273.1,9.215064,1.684936,0.154581,0.845419,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
54,PL3999JWP2,GLENLIVET WELL GP2 TO MANIFOLD - PROD,GAS,ACTIVE,0.071483,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,517.0,124.5,21.9,0.2,51.801325,168.3,14.634469,7.265531,0.331759,0.668241,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
55,PL3733,TORMORE WELL TO MANIFOLD - PROD,GAS,ACTIVE,0.058953,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,517.0,124.5,21.9,0.2,51.801325,168.3,14.634469,7.265531,0.331759,0.668241,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
56,PL3995JWP1,EDRADOUR WELL TO MANIFOLD - PROD,GAS,ACTIVE,0.065881,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,517.0,124.5,21.9,0.2,51.801325,168.3,14.634469,7.265531,0.331759,0.668241,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
57,PL3999JWP1,GLENLIVET WELL GP1 TO MANIFOLD - PROD,GAS,ACTIVE,0.067026,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,517.0,124.5,21.9,0.2,51.801325,168.3,14.634469,7.265531,0.331759,0.668241,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
58,PL2924,WEST ROCHELLE WELL TO WEST MANIFOLD  PL2924,GAS,ACTIVE,0.079941,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,345.0,136.5,15.9,0.2,34.601325,168.3,9.775272,6.124728,0.385203,0.614797,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
59,PL3080JMDC5,STELLA MDC TO WELL A3Y (SCP2) PRODUCTION,MIXED HYDROCARBONS,ACTIVE,0.138,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,139.8,14.3,0.2,42.201325,168.4,11.929443,2.370557,0.165773,0.834227,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
60,PL3080JMDC4,STELLA MDC TO WELL A2Z (SCP3) PRODUCTION,MIXED HYDROCARBONS,ACTIVE,0.095,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,139.8,14.3,0.2,42.201325,168.4,11.929443,2.370557,0.165773,0.834227,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
61,PL3080JNDC1,STELLA NDC MANIFOLD TO WELL B1X (SNP2) PRODUCTION,MIXED HYDROCARBONS,ACTIVE,0.089,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,139.8,14.3,0.2,42.201325,168.4,11.929443,2.370557,0.165773,0.834227,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
62,PL1911JC,"TULLICH 6"" PRODUCTION AT WELL P15",MIXED HYDROCARBONS,NOT IN USE,0.054049,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,152.4,49.4,0.2,20.101325,251.2,8.476105,40.923895,0.828419,0.171581,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
