scenario,alternative,inventory_item,mapping_key,quantity_low,quantity_base,quantity_high,unit,include_in_total,data_quality,ecoinvent_activity_name,ecoinvent_location,ecoinvent_reference_product,notes,impact_method,impact_category,impact_factor_kgco2e_per_unit,impact_factor_status,impact_low_kgco2e,impact_base_kgco2e,impact_high_kgco2e
nsta_pl774,new_build,pipeline_steel_mass,pipeline_steel,225448129.6708104,251303454.37386227,277319885.5803954,kg,yes,conditional_wall_thickness,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",Steel mass for a new equivalent pipeline; wall-thickness uncertainty is included.,screening GWP100 proxy,climate change,2.0,available,450896259.3416208,502606908.74772453,554639771.1607908
nsta_pl774,new_build,offshore_pipeline_construction,offshore_pipeline_construction,404.9737438559,404.9737438559,404.9737438559,km,yes,screening_estimate,"market for pipeline, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",New offshore pipeline construction activity.,screening GWP100 proxy,climate change,100000.0,available,40497374.38559,40497374.38559,40497374.38559
nsta_pl774,reuse,refurbishment_steel,pipeline_steel,11272406.483541,12565172.718693,13865994.27902,kg,yes,screening_calculation,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",Replacement/refurbishment steel from quantified work-scope table.,screening GWP100 proxy,climate change,2.0,available,22544812.967082,25130345.437386,27731988.55804
nsta_pl774,reuse,pipeline_refurbishment_activity,refurbishment_activity,404.973744,404.973744,404.973744,km,yes,aggregate_screening_package,user-defined pipeline refurbishment package,project,pipeline refurbishment activity,Refurbishment activity package from quantified work-scope table.,screening GWP100 proxy,climate change,20000.0,available,8099474.88,8099474.88,8099474.88
nsta_pl774,reuse,decommissioned_pipeline,decommissioned_pipeline,0,0,0,kg,no,scenario_choice,"market for decommissioned pipeline, natural gas",RoW,"decommissioned pipeline, natural gas",Not included by default; use for decommissioning or end-of-life sensitivity.,screening GWP100 proxy,climate change,0.0,not_required,0.0,0.0,0.0
nsta_pl774,operation,electricity_operation,electricity,0,0,0,kWh,no,not_implemented,electricity voltage transformation from high to medium voltage,GB,"electricity, medium voltage",Operational electricity is not yet linked to compression or pumping calculations.,screening GWP100 proxy,climate change,0.2,not_required,0.0,0.0,0.0
