scenario,alternative,inventory_item,mapping_key,quantity_low,quantity_base,quantity_high,unit,include_in_total,data_quality,ecoinvent_activity_name,ecoinvent_location,ecoinvent_reference_product,notes,impact_method,impact_category,impact_factor_kgco2e_per_unit,impact_factor_status,impact_low_kgco2e,impact_base_kgco2e,impact_high_kgco2e
goldeneye_dissertation,new_build,pipeline_steel_mass,pipeline_steel,21465008.100275766,27079095.89534493,32792317.99841418,kg,yes,conditional_wall_thickness,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",Steel mass for a new equivalent pipeline; wall-thickness uncertainty is included.,screening GWP100 proxy,climate change,2.0,available,42930016.20055153,54158191.79068986,65584635.99682836
goldeneye_dissertation,new_build,offshore_pipeline_construction,offshore_pipeline_construction,101.68,101.68,101.68,km,yes,screening_estimate,"market for pipeline, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",New offshore pipeline construction activity.,screening GWP100 proxy,climate change,100000.0,available,10168000.0,10168000.0,10168000.0
goldeneye_dissertation,reuse,refurbishment_steel,pipeline_steel,1073250.405014,1353954.794767,1639615.899921,kg,yes,screening_calculation,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",Replacement/refurbishment steel from quantified work-scope table.,screening GWP100 proxy,climate change,2.0,available,2146500.810028,2707909.589534,3279231.799842
goldeneye_dissertation,reuse,pipeline_refurbishment_activity,refurbishment_activity,101.68,101.68,101.68,km,yes,aggregate_screening_package,user-defined pipeline refurbishment package,project,pipeline refurbishment activity,Refurbishment activity package from quantified work-scope table.,screening GWP100 proxy,climate change,20000.0,available,2033600.0000000002,2033600.0000000002,2033600.0000000002
goldeneye_dissertation,reuse,decommissioned_pipeline,decommissioned_pipeline,0,0,0,kg,no,scenario_choice,"market for decommissioned pipeline, natural gas",RoW,"decommissioned pipeline, natural gas",Not included by default; use for decommissioning or end-of-life sensitivity.,screening GWP100 proxy,climate change,0.0,not_required,0.0,0.0,0.0
goldeneye_dissertation,operation,electricity_operation,electricity,0,0,0,kWh,no,not_implemented,electricity voltage transformation from high to medium voltage,GB,"electricity, medium voltage",Operational electricity is not yet linked to compression or pumping calculations.,screening GWP100 proxy,climate change,0.2,not_required,0.0,0.0,0.0
