mapping_key,impact_method,impact_category,activity_name,location,reference_product,unit,impact_factor_kgco2e_per_unit,source,quality,notes
pipeline_steel,IPCC 2021 GWP100,climate change,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",kg,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
offshore_pipeline_construction,IPCC 2021 GWP100,climate change,"market for pipeline, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",km,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
refurbishment_activity,IPCC 2021 GWP100,climate change,"user-defined pipeline refurbishment package",project,"pipeline refurbishment activity",km,,private ecoinvent/openLCA/Brightway result,to_be_filled,Build this private factor from selected inspection cleaning repair diesel vessel and recommissioning processes.
decommissioned_pipeline,IPCC 2021 GWP100,climate change,"market for decommissioned pipeline, natural gas",RoW,"decommissioned pipeline, natural gas",kg,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
electricity,IPCC 2021 GWP100,climate change,electricity voltage transformation from high to medium voltage,GB,"electricity, medium voltage",kWh,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
diesel_machinery,IPCC 2021 GWP100,climate change,"market for diesel, low-sulfur",Europe without Switzerland,"diesel, low-sulfur",MJ,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
freight_transport,IPCC 2021 GWP100,climate change,"market for transport, freight, lorry 16-32 metric ton, EURO4",RER,"transport, freight, lorry 16-32 metric ton, EURO4",tonne-km,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
scrap_steel,IPCC 2021 GWP100,climate change,"treatment of scrap steel, inert material landfill",Europe without Switzerland,scrap steel,kg,,private ecoinvent/openLCA/Brightway result,to_be_filled,Do not commit private licensed impact factors to GitHub.
