scenario,alternative,inventory_item,mapping_key,quantity_low,quantity_base,quantity_high,unit,include_in_total,data_quality,ecoinvent_activity_name,ecoinvent_location,ecoinvent_reference_product,notes
goldeneye_poster,new_build,pipeline_steel_mass,pipeline_steel,14061888.333696723,17679628.820914775,21338276.669650458,kg,yes,conditional_wall_thickness,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",Steel mass for a new equivalent pipeline; wall-thickness uncertainty is included.
goldeneye_poster,new_build,offshore_pipeline_construction,offshore_pipeline_construction,101.68,101.68,101.68,km,yes,screening_estimate,"market for pipeline, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",New offshore pipeline construction activity.
goldeneye_poster,reuse,refurbishment_steel,pipeline_steel,703094.416685,883981.441046,1066913.833483,kg,yes,screening_calculation,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",Replacement/refurbishment steel from quantified work-scope table.
goldeneye_poster,reuse,pipeline_refurbishment_activity,refurbishment_activity,101.68,101.68,101.68,km,yes,aggregate_screening_package,user-defined pipeline refurbishment package,project,pipeline refurbishment activity,Refurbishment activity package from quantified work-scope table.
goldeneye_poster,reuse,decommissioned_pipeline,decommissioned_pipeline,0,0,0,kg,no,scenario_choice,"market for decommissioned pipeline, natural gas",RoW,"decommissioned pipeline, natural gas",Not included by default; use for decommissioning or end-of-life sensitivity.
goldeneye_poster,operation,electricity_operation,electricity,0,0,0,kWh,no,not_implemented,electricity voltage transformation from high to medium voltage,GB,"electricity, medium voltage",Operational electricity is not yet linked to compression or pumping calculations.
